pPHONEME DATA:
Sil	0	0.24
F	0.24	0.336
Ao	0.336	0.64
R	0.64	0.688
S	0.688	0.864
K	0.864	0.944
Ao	0.944	1.2
R	1.2	1.312
Ax	1.312	1.408
N	1.408	1.456
D	1.456	1.472
S	1.472	1.616
Eh	1.616	1.68
V	1.68	1.744
Ax	1.744	1.776
N	1.776	1.904
Y	1.904	2.08
Er	2.08	2.192
Z	2.192	2.288
Ax	2.288	2.336
G	2.336	2.416
Ow	2.416	2.704
Sil	2.704	3.232
Aa	3.232	3.328
R	3.328	3.376
F	3.376	3.568
Aa	3.568	3.712
Dh	3.712	3.792
Er	3.792	3.904
Z	3.904	4.016
Sil	4.016	4.096
B	4.096	4.112
R	4.112	4.192
Ao	4.192	4.304
T	4.304	4.32
Sil	4.32	4.384
F	4.384	4.576
Ao	4.576	4.72
R	4.72	4.736
Th	4.736	4.864
Ao	4.864	4.992
N	4.992	5.024
Dh	5.024	5.056
Ih	5.056	5.12
S	5.12	5.216
K	5.216	5.328
Aa	5.328	5.424
N	5.424	5.488
T	5.488	5.52
Ax	5.52	5.552
N	5.552	5.6
Ax	5.6	5.68
N	5.68	5.776
T	5.776	5.856
Sil	5.856	6.016
Ah	6.016	6.048
N	6.048	6.176
Uw	6.176	6.544
N	6.544	6.56
Ae	6.56	6.592
Sh	6.592	6.72
Ax	6.72	6.768
N	6.768	6.848
Sil	6.848	7.248
K	7.248	7.264
Ax	7.264	7.344
N	7.344	7.376
S	7.376	7.568
Iy	7.568	7.76
V	7.76	7.808
D	7.808	7.888
Ih	7.888	7.952
N	7.952	8.112
L	8.112	8.16
Ih	8.16	8.224
B	8.224	8.24
Er	8.24	8.4
T	8.4	8.416
Iy	8.416	8.576
Sil	8.576	8.992
Ax	8.992	9.024
N	9.024	9.12
D	9.12	9.136
D	9.136	9.28
Ih	9.28	9.424
D	9.424	9.52
Ih	9.52	9.616
K	9.616	9.632
Ey	9.632	9.664
T	9.664	9.68
Ax	9.68	9.76
D	9.76	9.824
T	9.824	9.936
Uw	9.936	9.984
Dh	9.984	10.016
Ah	10.016	10.032
P	10.032	10.192
R	10.192	10.272
Ax	10.272	10.416
P	10.416	10.432
Ow	10.432	10.448
Z	10.448	10.576
Ih	10.576	10.64
Sh	10.64	10.8
Ax	10.8	10.896
N	10.896	10.944
Dh	10.944	11.008
Ax	11.008	11.024
T	11.024	11.056
Sil	11.056	11.248
Ao	11.248	11.488
L	11.488	11.616
M	11.616	11.792
Eh	11.792	11.92
N	11.92	12.08
Sil	12.08	12.208
Aa	12.208	12.256
R	12.256	12.336
K	12.336	12.48
R	12.48	12.528
Iy	12.528	12.592
Ey	12.592	12.752
T	12.752	12.768
Ih	12.768	12.864
D	12.864	13.056
Iy	13.056	13.104
K	13.104	13.12
W	13.12	13.136
Ax	13.136	13.152
L	13.152	13.168
Sil	13.168	13.792

WORD DATA:
<SIL>	0	0.24
FOUR	0.24	0.688
SCORE	0.688	1.312
AND	1.312	1.472
SEVEN	1.472	1.904
YEARS	1.904	2.288
AGO	2.288	2.704
<SIL>	2.704	3.232
OUR	3.232	3.376
FATHERS	3.376	4.016
<SIL>	4.016	4.096
BROUGHT	4.096	4.32
<SIL>	4.32	4.384
FORTH	4.384	4.864
ON	4.864	5.024
THIS	5.024	5.216
CONTINENT	5.216	5.856
<SIL>	5.856	6.016
A	6.016	6.048
NEW	6.048	6.544
NATION	6.544	6.848
<SIL>	6.848	7.248
CONCEIVED	7.248	7.888
IN	7.888	8.112
LIBERTY	8.112	8.576
<SIL>	8.576	8.992
AND	8.992	9.136
DEDICATED	9.136	9.824
TO	9.824	9.984
THE	9.984	10.032
PROPOSITION	10.032	10.944
THAT	10.944	11.056
<SIL>	11.056	11.248
ALL	11.248	11.616
MEN	11.616	12.08
<SIL>	12.08	12.208
ARE	12.208	12.336
CREATED	12.336	13.056
EQUAL	13.056	13.168
<SIL>	13.168	13.792

